ID,발행일,연도,매체,기사제목,대상국,세부지역,기사초점,WNI수(기사표기),모집플랫폼,약속직무,보상표현,이동경로,강제성/착취,프레이밍,TPPO 언급,정부/기관 대응,연구우선순위,코딩깊이,접근상태,출처URL,근거요약,사건군,비고
D019,2025-10-23,2025,Detik,Menteri P2MI pastikan 110 WNI korban online scam Kamboja segera dipulangkan,캄보디아,,송환,110,,,,,,피해자,가능성/선별,송환 계획,중,메타,검색결과 확인,https://news.detik.com/berita/d-8174869/menteri-p2mi-pastikan-110-wni-korban-online-scam-kamboja-segera-dipulangkan,,KH-110-2025,
D020,2025-10-24,2025,Detik,Menteri P2MI: 110 WNI korban scam di Kamboja wajib pulang,캄보디아,,송환/통제,110,,,,,,혼합/경계,가능성/선별,강제 귀환 주장,상,부분,검색결과 확인,https://news.detik.com/berita/d-8176689/menteri-p2mi-110-wni-korban-scam-di-kamboja-wajib-pulang-nanti-masalah-lagi,,KH-110-2025,
C018,2025-10-27,2025,CNN Indonesia,Kemlu RI beber kondisi WNI korban scam Kamboja usai diteror sindikat,캄보디아,,착취/보호,,,,,,조직의 협박·위협,피해자,가능성/선별,보호·송환,상,부분,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20251027092131-106-1288750/kemlu-ri-beber-kondisi-wni-korban-scam-kamboja-usai-diteror-sindikat,,KH-110-2025,
T003,2025-10-27,2025,Tirto,Alasan Kemlu tak semua WNI di Kamboja-Myanmar ditampung KBRI,동남아 다국가,,분류/보호범위,,,,,,,혼합/경계,가능성/선별,피해자성 평가 후 보호,상,심층,검색결과 확인,https://tirto.id/alasan-kemlu-tak-semua-wni-di-kamboja-myanmar-ditampung-kbri-hkuL,,FRAME-2025,
A016,2025-10-29,2025,ANTARA,Kemlu RI pulangkan 26 WNI terlibat aktivitas online scam di Myanmar,미얀마,,송환/분류,26,,,,,,혼합/경계,가능성/선별,25명 평가·1명 모집책 혐의,상,부분,본문 확인,https://www.antaranews.com/berita/5207269/kemlu-ri-pulangkan-26-wni-terlibat-aktivitas-online-scam-di-myanmar,,MY-KKPARK-2025,
A017,2025-10-30,2025,ANTARA,Kemlu: WNI eks KK Park perlu jalani asesmen sebelum dipulangkan,미얀마,KK Park,분류/송환,,,,,,,혼합/경계,가능성/선별,개별 평가,상,부분,본문 확인,https://www.antaranews.com/berita/5210237/kemlu-wni-eks-kk-park-perlu-jalani-asesmen-sebelum-dipulangkan,,MY-KKPARK-2025,
A018,2025-11-13,2025,ANTARA,"KBRI Phnom Penh: 107 WNI tersangka penipuan daring sehat, siap pulang",캄보디아,Phnom Penh,체포/송환,107,,,,,,가해자,부정/미확인,용의자 송환,상,부분,본문 확인,https://www.antaranews.com/berita/5240117/kbri-phnom-penh-107-wni-tersangka-penipuan-daring-sehat-siap-pulang,,KH-SUSPECT-2025,
A019,2025-11-19,2025,ANTARA,KBRI bantu pulangkan WNI usai keluar dari sindikat penipuan daring,캄보디아,,사례/분류,1,소셜미디어,,,,,혼합/경계,부정/미확인,영사 지원,상,심층,검색결과 확인,https://www.antaranews.com/berita/5253377/kbri-bantu-pulangkan-wni-usai-keluar-dari-sindikat-penipuan-daring,당사자가 소셜미디어에서 구인정보를 보고 캄보디아행을 인지했으며 강압이 없었다고 진술한 사례다.,VOLUNTARY-2025,
C019,2025-11-19,2025,CNN Indonesia,Kemlu sebut kiper Bandung di Kamboja bukan korban TPPO tapi nyasar,캄보디아,,사례/분류,1,소셜미디어,,,,,혼합/경계,부정/미확인,영사 지원,상,심층,검색결과 확인,https://www.cnnindonesia.com/internasional/20251119182230-106-1297243/kemlu-sebut-kiper-bandung-di-kamboja-bukan-korban-tppo-tapi-nyasar,소셜미디어 구인을 보고 목적지를 알고 출국했으며 강압이 없었다는 정부 평가가 제시된다.,VOLUNTARY-2025,
A020,2025-11-21,2025,ANTARA,KBRI: 48 WNI diciduk di sentra online scam Myanmar,미얀마,,단속/분류,48,,,,,,혼합/경계,가능성/선별,단속 후 신원·역할 확인,중,메타,검색결과 확인,https://www.antaranews.com/berita/5257913/kbri-48-wni-diciduk-di-sentra-online-scam-myanmar,,MY-RAID-2025,
A021,2025-12-08,2025,ANTARA,KBRI: 56 WNI terjaring operasi online scam Myanmar dipulangkan,미얀마,,단속/송환,56,,,,,,혼합/경계,가능성/선별,송환,중,메타,검색결과 확인,https://www.antaranews.com/berita/5293309/kbri-56-wni-terjaring-operasi-online-scam-myanmar-dipulangkan,,MY-RAID-2025,
N006,2025-12-13,2025,CNBC Indonesia,54 WNI korban online scam di Myanmar akhirnya dipulangkan,미얀마,,송환,54,,,,,,피해자,가능성/선별,송환,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20251213170923-4-693926/54-wni-korban-online-scam-di-myanmar-akhirnya-dipulangkan,,MY-RAID-2025,
C020,2025-12-26,2025,CNN Indonesia,Kemlu pulangkan 9 WNI korban penipuan online dari Kamboja,캄보디아,,송환/피해,9,,,,,,피해자,명시,송환,중,메타,검색결과 확인,https://www.cnnindonesia.com/internasional/20251226171206-106-1310916/kemlu-pulangkan-9-wni-korban-penipuan-online-dari-kamboja,,KH-9-2025,
K001,2025-12-26,2025,Kumparan,"Pilu 9 WNI diperdaya jadi scammer di Kamboja, 1 orang hamil 6 bulan disiksa",캄보디아,,모집/착취,9,,온라인도박 관리자 등,,,감금·폭행·임신부 학대·사기강요,피해자,명시,구조·송환,상,심층,검색결과 확인,https://kumparan.com/kumparannews/pilu-9-wni-diperdaya-jadi-scammer-di-kamboja-1-orang-hamil-6-bulan-disiksa-26Vo5FdBOeh,,KH-9-2025,
A022,2025-12-27,2025,ANTARA 지역판,Polri: Korban TPPO di Kamboja dijanjikan jadi operator komputer,캄보디아,,모집/착취,,,컴퓨터 운영자,월 Rp9백만,,여권 압수·사기노동 강요·처벌,피해자,명시,경찰 수사,상,심층,검색결과 확인,https://jambi.antaranews.com/berita/642802/polri-korban-tppo-di-kamboja-dijanjikan-jadi-operator-komputer,컴퓨터 운영자로 채용한다는 약속과 달리 여권을 빼앗고 온라인 사기를 강요한 사례다.,KH-OPERATOR-2025,
K002,2025-12-27,2025,Kumparan,Polri: 600 WNI masih terjebak jaringan online scam di Kamboja,캄보디아,,규모/구조,600,,,,,,피해자,명시,경찰 구조·수사,중,메타,검색결과 확인,https://kumparan.com/kumparannews/polri-600-wni-masih-terjebak-jaringan-online-scam-di-kamboja-26Vq4trUWdZ,,KH-2025-12,
L009,2025-12-28,2025,Liputan6,Modus perdagangan orang WNI di Kamboja: dijanjikan kerja operator komputer bergaji Rp 9 juta,캄보디아,,모집/착취,,,컴퓨터 운영자,월 Rp9백만,,여권 압수·사기노동 강요·불응 시 처벌,피해자,명시,경찰 수사,상,심층,본문 확인,https://www.liputan6.com/news/read/6245411/modus-perdagangan-orang-wni-di-kamboja-dijanjikan-kerja-operator-komputer-bergaji-rp-9-juta,합법적 디지털 직무명이 강제 스캠노동으로 전환되는 과정을 선명하게 보여준다.,KH-OPERATOR-2025,
A023,2026-01-19,2026,ANTARA,"Online scam Kamboja diberantas, ratusan WNI minta pulang ke KBRI",캄보디아,Phnom Penh,단속/송환,수백 명,,,,,,혼합/경계,가능성/선별,자진신고·추방 지원,중,메타,본문 확인,https://www.antaranews.com/berita/5359262/online-scam-kamboja-diberantas-ratusan-wni-minta-pulang-ke-kbri,,KH-CRACKDOWN-2026,
D021,2026-01-19,2026,Detik,"Bisnis online scam dibombardir, ratusan WNI di Kamboja minta pulang",캄보디아,,단속/송환,"375(1월), 243(이틀)",,,,,,혼합/경계,가능성/선별,KBRI 귀환 접수,중,메타,검색결과 확인,https://news.detik.com/berita/d-8313544/bisnis-online-scam-dibombardir-ratusan-wni-di-kamboja-minta-pulang,,KH-CRACKDOWN-2026,
K003,2026-01-19,2026,Kumparan,"Kamboja intensifkan operasi antiscam, 308 WNI minta dideportasi ke Indonesia",캄보디아,,단속/분류/송환,308,,,,,여권 압수 사례,혼합/경계,가능성/선별,추방 신청·영사 지원,상,심층,검색결과 확인,https://kumparan.com/kumparannews/kamboja-intensifkan-operasi-antiscam-308-wni-minta-dideportasi-ke-indonesia-26f77ci4wEQ,일부는 여권을 빼앗겼다고 호소하지만 다른 일부는 현지에서 새 일자리를 찾으려는 것으로 보도된다.,KH-CRACKDOWN-2026,
C021,2026-01-21,2026,CNN Indonesia,KBRI Phnom Penh tangani kasus 1.440 WNI korban penipuan online,캄보디아,Phnom Penh,규모/보호,"1,440",,,,,,피해자,가능성/선별,KBRI 접수·송환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20260121175607-106-1319440/kbri-phnom-penh-tangani-kasus-1440-wni-korban-penipuan-online,,KH-CRACKDOWN-2026,
K004,2026-01-21,2026,Kumparan,Mayoritas dari 1.440 WNI pelaku online scam di Kamboja tak punya paspor,캄보디아,,프레이밍/문서,"1,440",,,,,여권 부재·체류문제,가해자,부정/미확인,여행증명서·송환,상,심층,검색결과 확인,https://kumparan.com/kumparannews/mayoritas-dari-1-440-wni-pelaku-online-scam-di-kamboja-tak-punya-paspor-26g1cwPeRHS,,FRAME-KH-2026,
A024,2026-01-22,2026,ANTARA,KBRI Phnom Penh perkuat penanganan WNI terindikasi korban TPPO,캄보디아,Phnom Penh,분류/보호,"1,726",,,,,,혼합/경계,가능성/선별,TPPO 지표 평가,상,메타,본문 확인,https://www.antaranews.com/berita/5368026/kbri-phnom-penh-perkuat-penanganan-wni-terindikasi-korban-tppo,,KH-CRACKDOWN-2026,
N007,2026-01-22,2026,CNBC Indonesia,"90 WNI korban penipuan online dipulangkan dari Myanmar, 230 menunggu",미얀마,,송환/규모,"90(귀환), 230(대기)",,,,,,피해자,가능성/선별,단계적 송환,중,메타,검색결과 확인,https://www.cnbcindonesia.com/news/20260122091042-4-704250/90-wni-korban-penipuan-online-dipulangkan-dari-myanmar-230-menunggu,,MY-2026,
C022,2026-01-22,2026,CNN Indonesia,"90 WNI dipulangkan dari Myanmar, mayoritas pekerja online scam",미얀마,,송환/분류,90,,,,,,혼합/경계,가능성/선별,송환,중,메타,링크 확인(본문 미검증),https://www.cnnindonesia.com/internasional/20260122104145-106-1319669/90-wni-dipulangkan-dari-myanmar-mayoritas-pekerja-online-scam,,MY-2026,
D022,2026-01-22,2026,Detik Finance,Bos OJK sebut WNI di Kamboja bukan korban tapi pelaku scam,캄보디아,,프레이밍/분류,,,,,,,가해자,부정/미확인,금융감독당국 발언,상,심층,검색결과 확인,https://finance.detik.com/moneter/d-8319531/bos-ojk-sebut-wni-di-kamboja-bukan-korban-tapi-pelaku-scam,,FRAME-OJK-2026,
K005,2026-01-22,2026,Kumparan,"1.726 WNI terjebak online scam datangi KBRI Kamboja, pemulangan dipercepat",캄보디아,,규모/송환,"1,726",,,,,,피해자,가능성/선별,귀환 가속,중,메타,검색결과 확인,https://kumparan.com/kumparannews/1-726-wni-terjebak-online-scam-datangi-kbri-kamboja-pemulangan-dipercepat-26gIFGd1HRG,,KH-CRACKDOWN-2026,
A025,2026-01-23,2026,ANTARA Video,KBRI Phnom Penh: 1.726 WNI kabur dari markas online scam Kamboja,캄보디아,Phnom Penh,탈출/송환,"1,726",,,,,,피해자,가능성/선별,영사관 집결·송환지원,중,메타,본문 확인,https://www.antaranews.com/video/5369542/kbri-phnom-penh-1726-wni-kabur-dari-markas-online-scam-kamboja,,KH-CRACKDOWN-2026,
K006,2026-01-23,2026,Kumparan,Perkembangan terkini upaya pemulangan WNI pekerja scam dari Kamboja,캄보디아,,송환/문서,,,,,,여권·불법체류 문제,혼합/경계,가능성/선별,문서·벌금·항공편 조정,중,메타,검색결과 확인,https://kumparan.com/kumparannews/perkembangan-terkini-upaya-pemulangan-wni-pekerja-scam-dari-kamboja-26gVOMiGwl1,,KH-CRACKDOWN-2026,
D023,2026-01-24,2026,Detik,Saat bos OJK sebut WNI di Kamboja bukan korban TPPO tapi scammer,캄보디아,,프레이밍/분류,,,,,,,가해자,부정/미확인,논쟁 재보도,상,부분,검색결과 확인,https://news.detik.com/berita/d-8322830/saat-bos-ojk-sebut-wni-di-kamboja-bukan-korban-tppo-tapi-scammer,,FRAME-OJK-2026,D022 후속·중복 가능
K007,2026-01-26,2026,Kumparan,Kapolri & Ketua Komisi III bicara nasib WNI eks scammer di Kamboja pulang ke RI,캄보디아,,프레이밍/권리,,,,,,,혼합/경계,가능성/선별,수사와 시민보호 병행 논쟁,상,심층,검색결과 확인,https://kumparan.com/kumparannews/kapolri-and-ketua-komisi-iii-bicara-nasib-wni-eks-scammer-di-kamboja-pulang-ke-ri-26hxd269Ct7,,FRAME-KH-2026,
K008,2026-01-27,2026,Kumparan,Menlu soal nasib WNI eks scammer di Kamboja: Kita serahkan ke penegak hukum,캄보디아,,프레이밍/법집행,,,,,,,가해자,부정/미확인,귀환 후 법집행기관 이관,상,부분,검색결과 확인,https://kumparan.com/kumparannews/menlu-soal-nasib-wni-eks-scammer-di-kamboja-kita-serahkan-ke-penegak-hukum-26iMo31iHcv,,FRAME-KH-2026,
T004,2026-01-27,2026,Tirto,Kemlu lakukan asesmen WNI Kamboja sebelum pemulangan ke RI,캄보디아,,분류/송환,,,,,,,혼합/경계,가능성/선별,피해자·가담자 구분 평가,상,부분,검색결과 확인,https://tirto.id/kemlu-lakukan-asesmen-wni-kamboja-sebelum-pemulangan-ke-ri-hp1n,,FRAME-KH-2026,
K009,2026-01-29,2026,Kumparan,Komisi I DPR soal WNI eks scammer di Kamboja: Kemanusiaan tak boleh diabaikan,캄보디아,,프레이밍/권리,,,,,,,혼합/경계,가능성/선별,인도주의 보호 요구,상,심층,검색결과 확인,https://kumparan.com/kumparannews/komisi-i-dpr-soal-wni-eks-scammer-di-kamboja-kemanusiaan-tak-boleh-diabaikan-26j5MhOtisN,,FRAME-KH-2026,
T005,2026-01-29,2026,Tirto,"Dipulangkan dari Kamboja, WNI korban atau pelaku scam?",캄보디아,,프레이밍/분류,,,,,,,혼합/경계,가능성/선별,법적·정책 논쟁,상,심층,검색결과 확인,https://tirto.id/dipulangkan-dari-kamboja-wni-korban-atau-pelaku-scam-hp2F,귀환자를 피해자 또는 범죄 가담자로 분류하는 기준과 그 정치적 효과를 직접 문제화한다.,FRAME-KH-2026,
T006,2026-02-03,2026,Tirto,Kemlu terima 3.100 aduan WNI keluar dari sindikat scam Kamboja,캄보디아,,규모/송환,"3,100",,,,,,혼합/경계,가능성/선별,신고 접수·귀환지원,중,메타,검색결과 확인,https://tirto.id/kemlu-terima-3100-aduan-wni-keluar-dari-sindikat-scam-kamboja-hqpK,,KH-CRACKDOWN-2026,
A026,2026-02-06,2026,ANTARA,KBRI catat WNI korban sindikat online scam Kamboja berangsur pulang,캄보디아,,송환/규모,"3,446(신고), 1,178(보호)",,,,,,피해자,가능성/선별,보호·귀환,중,메타,본문 확인,https://www.antaranews.com/berita/5400650/kbri-catat-wni-korban-sindikat-online-scam-kamboja-berangsur-pulang,,KH-CRACKDOWN-2026,
A027,2026-02-09,2026,ANTARA 지역판,Bareskrim Polri nilai 249 WNI yang dipulangkan dari Kamboja,캄보디아,,모집/착취/분류,249,Facebook·Telegram,전자상거래 운영·온라인도박·식당·고객서비스,월 Rp6–8백만 수준 약속,관광비자·비공식 취업,14–18시간 노동·감금·임금 미지급,혼합/경계,명시,경찰 평가·수사,상,심층,검색결과 확인,https://ambon.antaranews.com/berita/315718/bareskrim-polri-nilai-249-wni-yang-dipulangkan-dari-kamboja,"SNS로 모집된 뒤 장시간 노동, 통제, 임금 미지급에 놓인 집단 사례다.",KH-249-2026,
D024,2026-02-09,2026,Detik,249 WNI terlibat judol dipulangkan dari Kamboja usai diasesmen,캄보디아,,모집/착취/분류,249,Facebook·Telegram,전자상거래 운영·온라인도박·식당·고객서비스,월 Rp6–8백만 약속,관광비자·비공식 취업,14–18시간 노동·감금·임금 미지급,혼합/경계,명시,경찰 평가 후 송환,상,심층,본문 확인,https://news.detik.com/berita/d-8347615/249-wni-terlibat-judol-dipulangkan-dari-kamboja-usai-diasesmen,,KH-249-2026,
D025,2026-02-09,2026,Detik,Polisi ungkap modus rekrutmen 249 WNI kerja di perusahaan scam Kamboja,캄보디아,,모집/브로커,249,Facebook·Telegram,전자상거래 운영·온라인도박·식당·고객서비스,고임금·빠른 출국,관광비자,장시간 노동·통제,피해자,명시,모집책 수사,상,심층,검색결과 확인,https://news.detik.com/berita/d-8348155/polisi-ungkap-modus-rekrutmen-249-wni-kerja-di-perusahaan-scam-kamboja,,KH-249-2026,
L010,2026-02-09,2026,Liputan6,Bareskrim pulangkan 249 WNI bermasalah yang terjebak di perusahaan scam Kamboja,캄보디아,,모집/착취/송환,249,소셜미디어,,,관광비자,14–18시간 노동·통제,혼합/경계,명시,평가·송환,상,심층,검색결과 확인,https://www.liputan6.com/news/read/6275383/bareskrim-pulangkan-249-wni-bermasalah-yang-terjebak-di-perusahaan-scam-kamboja,,KH-249-2026,
S003,2026-02-09,2026,Suara,"Terjebak perdagangan orang, 249 WNI dipaksa kerja 18 jam di Kamboja-Myanmar",동남아 다국가,,모집/강제노동,249,소셜미디어,,,,최대 18시간 노동·감금·통제,피해자,명시,평가·송환,상,심층,검색결과 확인,https://www.suara.com/news/2026/02/09/191126/terjebak-perdagangan-orang-249-wni-dipaksa-kerja-18-jam-di-kambojamyanmar,,KH-249-2026,
D026,2026-02-10,2026,Detik,249 WNI kerja di perusahaan scam Kamboja direkrut lewat medsos,캄보디아,,모집/플랫폼,249,소셜미디어,,,,,피해자,명시,경찰 발표,상,부분,검색결과 확인,https://news.detik.com/berita/d-8348706/249-wni-kerja-di-perusahaan-scam-kamboja-direkrut-lewat-medsos,,KH-249-2026,D024·D025 후속
A028,2026-02-19,2026,ANTARA,RI upayakan percepatan pemulangan WNI eks online scam Kamboja,캄보디아,,송환/행정,,,,,,,중립/행정,가능성/선별,과태료 면제·여행증명·송환,중,메타,본문 확인,https://www.antaranews.com/berita/5424470/ri-upayakan-percepatan-pemulangan-wni-eks-online-scam-kamboja,,KH-CRACKDOWN-2026,
T007,2026-02-19,2026,Tirto,Kemlu RI: Tidak ditemukan WNI di Kamboja jadi korban TPPO,캄보디아,,프레이밍/분류,"3,917(평가)",,,,,,가해자,부정/미확인,정부 평가 결과 발표,상,심층,검색결과 확인,https://tirto.id/kemlu-ri-tidak-ditemukan-wni-di-kamboja-jadi-korban-tppo-hrhR,대규모 평가에서 TPPO 피해가 확인되지 않았고 일부가 불법활동을 인정했다는 정부 프레임을 전달한다.,FRAME-KH-2026,
A029,2026-02-22,2026,ANTARA,KBRI catat lonjakan kepulangan WNI eks sindikat online scam Kamboja,캄보디아,,송환/분류,462,,,,,,혼합/경계,가능성/선별,귀환 후 역할 평가,중,메타,본문 확인,https://www.antaranews.com/berita/5430910/kbri-catat-lonjakan-kepulangan-wni-eks-sindikat-online-scam-kamboja,,KH-CRACKDOWN-2026,
L011,2026-02-22,2026,Liputan6,"Buronan Interpol Rifaldo ditangkap, pelaku penipuan online dan TPPO Kamboja",캄보디아,,모집책/착취,,소셜미디어,,고임금,,여권 압수·임금 미지급·높은 퇴사비,피해자,명시,국제수배 모집책 체포,상,심층,검색결과 확인,https://www.liputan6.com/news/read/6283483/buronan-interpol-rifaldo-ditangkap-pelaku-penipuan-online-dan-tppo-kamboja,모집광고에서 현지 통제·퇴사비 부과까지 이어지는 브로커 네트워크를 추적할 수 있는 사례다.,RECRUITER-KH-2026,
T008,2026-02-22,2026,Tirto,KBRI catat lonjakan kepulangan WNI eks sindikat penipuan Kamboja,캄보디아,,송환/분류,462,,,,,,혼합/경계,가능성/선별,송환·평가,중,메타,검색결과 확인,https://tirto.id/kbri-catat-lonjakan-kepulangan-wni-eks-sindikat-penipuan-kamboja-hroW,,KH-CRACKDOWN-2026,
T009,2026-03-02,2026,Tirto,"Masalah dokumen, 15 warga Sumsel sulit pulang dari Kamboja",캄보디아,,이주문서/송환,15,,,,,여권·체류문서 문제,혼합/경계,가능성/선별,문서 해결·귀환 지원,중,메타,검색결과 확인,https://tirto.id/masalah-dokumen-15-warga-sumsel-sulit-pulang-dari-kamboja-hrSM,,KH-DOC-2026,
A030,2026-03-03,2026,ANTARA,KBRI Phnom Penh: 590 WNI pulang ke RI dalam sepekan,캄보디아,,송환/분류,"5,264(신고), 590(주간 귀환)",,,,,,혼합/경계,부정/미확인,초기 선별·송환,상,부분,본문 확인,https://www.antaranews.com/berita/5449294/kbri-phnom-penh-590-wni-pulang-ke-ri-dalam-sepekan,초기 조사에서 TPPO 지표가 확인되지 않았다는 정부 프레임이 나타난다.,KH-CRACKDOWN-2026,
A031,2026-03-27,2026,ANTARA,"WNI terlibat online scam di Kamboja lebihi 6.000, sepertiga pulang",캄보디아,,규모/송환,"6,308",,,,,,혼합/경계,가능성/선별,"2,528명 귀환·과태료 면제 협의",중,메타,본문 확인,https://www.antaranews.com/berita/5496642/wni-terlibat-online-scam-di-kamboja-lebihi-6000-sepertiga-pulang,,KH-CRACKDOWN-2026,
A032,2026-03-30,2026,ANTARA,KP2MI buru oknum perekrut WNI di sindikat penipuan daring Kamboja,캄보디아,,모집/브로커/분류,"6,308(신고)",비공식 모집망,온라인 스캠 관련 직무,,,,혼합/경계,명시,모집책 추적·피해자/가담자 선별,상,심층,본문 확인,https://www.antaranews.com/berita/5501246/kp2mi-buru-oknum-perekrut-wni-di-sindikat-penipuan-daring-kamboja,송출·모집 단계의 인도네시아인 브로커를 추적하고 귀환자의 역할을 구분하려는 정책 대응을 다룬다.,RECRUITER-KH-2026,
A033,2026-05-06,2026,ANTARA,8.000 WNI korban penipuan daring melapor ke KBRI Phnom Penh,캄보디아,,규모/송환,"8,002",,,,,,피해자,가능성/선별,"3,348명 귀환 지원·문서/체류문제 해결",중,메타,본문 확인,https://www.antaranews.com/berita/5556771/8000-wni-korban-penipuan-daring-melapor-ke-kbri-phnom-penh,,KH-CRACKDOWN-2026,
